###      Mercury--Venus--Earth---Moon---Ceres-------Mars--Jupiter--Io-----Europa--Saturn--Titan--Neptune--Pluto--Charon
         0.0000  0.7755  0.6532  0.6552  2.8830   1.7505  5.8035  5.8013  5.8038 8.9483  8.9487 29.511 36.027  36.027
         0.7755  0.0000  1.0840  1.0867  3.5227   0.9850  5.7612  5.6692  5.6710 8.7515  8.7526 29.699 36.772  36.772
         0.6532  1.0840  0.0000  0.0025  3.2573   2.0230  6.4528  6.4506  6.4531 8.3676  8.3678 28.861 35.762  35.762
         0.6552  1.0867  0.0025  0.0000  3.2574   2.0254  6.4549  6.4527  6.4553 8.3665  8.3667 28.859 35.760  35.760
         2.8830  3.5227  3.2573  3.2574  0.0000   4.2967  5.2841  5.2818  5.2867 11.445  11.444 30.846 34.456  34.456
         1.7505  0.9850  2.0230  2.0254  4.2967   0.0000  5.4435  5.4418  5.4425 8.8066  8.8085 30.160 37.753  37.753
         5.8035  5.7612  6.4528  6.4549  5.2841   5.4435  0.0000  0.0018  0.0043 14.244  14.246 35.312 39.245  39.245
         5.8013  5.6692  6.4506  6.4527  5.2818   5.4418  0.0018  0.0000  0.0060 14.244  14.246 35.312 39.245  39.245
         5.8038  5.6710  6.4531  6.4553  5.2867   5.4425  0.0043  0.0060  0.0000 14.245  14.247 35.314 39.249  39.249
         8.9483  8.7515  8.3676  8.3665  11.445   8.8066  14.244  14.244  14.245 0.0000  0.0086 22.275 37.230  37.230
         8.9487  8.7526  8.3678  8.3667  11.444   8.8085  14.246  14.246  14.247 0.0086  0.0000 22.269 37.223  37.223
         29.511  29.699  28.861  28.859  30.846   30.160  35.312  35.312  35.314 22.275  22.269 0.0000 33.427  33.427
         36.027  36.772  35.762  35.760  34.456   37.753  39.245  39.245  39.249 37.230  37.223 33.427 0.0000  0.0001
         36.027  36.772  35.762  35.760  34.456   37.753  39.245  39.245  39.249 37.230  37.223 33.427 0.0001  0.0000
